Nama Pengulas,Ulasan,Rating
Dian Mahmudi,,4 bintang
Pras,,2 bintang
Henry Maulana,,4 bintang
Abdul Kohar,,5 bintang
Ady Pudriansyah,,4 bintang
Achmad Maulana,,5 bintang
Ikhsan Agoes,,3 bintang
sally fransisca,,5 bintang
Hakim Aulia,,4 bintang
Kristina Purba,,5 bintang
cereullainenovia rahmayanti,,5 bintang
Fahrenzia Muzafarsyah,,5 bintang
Alex46DS YT,,5 bintang
Adrian Djanegara,,4 bintang
Farid Orange,,5 bintang
Harris Hendrato,,5 bintang
Hendri Agus Riyanto,,5 bintang
Rahmat Wahyudi,,5 bintang
Mariskha Maya,,4 bintang
R Aditya Subagyanto,,5 bintang
Elfa Nabilla Harwansyah,,4 bintang
kunantin Army's,,3 bintang
boby firmansyah,,3 bintang
Budi Santoso,,5 bintang
Bobby Firmansyah,,5 bintang
