Nama Pengulas,Ulasan,Rating
Muhammad Qois,"Lokasi strategis dan tempat nyaman
Makanan: 5…
Lainnya",5 bintang
meyliani halim,"Suasana nya cozy dan semerbak aroma Kopi
Tarif per orang
Rp 1–25.000…
Lainnya",5 bintang
Fitri Rahayu,"Tempatnya cozy bgtttt
Suasana: 5",5 bintang
grasela samosir,"Pelayanan cepat dan bagus
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
William Nicholas,"Sangat nyaman nongkrong disini
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Mutiara Saraswaty,"Kopken baru di juanda masih promo b1gw
Makanan: 5…
Lainnya",5 bintang
Benni,"Bersih, nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
Bayu Wandira,"Pelayanan top
Makanan: 5
Layanan:…
Lainnya",5 bintang
nadira azzahra,"Baristanya baik bgt
Makanan: 5
Layanan:…
Lainnya",5 bintang
Jessica Hendrawan,"Tempatnya comfy
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Nichoo,"Sangat cozy dan bersih
Makanan: 5
Layanan:…
Lainnya",5 bintang
Selvie Ani,"Barista ramah semua
Makanan: 5
Layanan:…
Lainnya",5 bintang
Ariel Gionino,harusnya 24 jam,3 bintang
Syahrul D,"asik dan nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
Agus Tolob,"Nice. Nyaman. Ramah
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Rifan Krisna Hikmawan,"👍🏻👍🏻👍🏻 …
Makanan: 5
Layanan:…
Lainnya",5 bintang
indah yulistiani,"Banyak diskon
Makanan: 5
Layanan:…
Lainnya",5 bintang
stevani monica,"tempatnya comfy
Makanan: 5
Layanan:…
Lainnya",5 bintang
Azmi Maulana,"Oke bgt
Layanan: 5
Suasana: …
Lainnya",5 bintang
pen pen,"Keren
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Antoni Bastian,"Mantap
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
gusti pawang pangayoman,"Enak
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
dhaztin alfilqri12,"mantapp
Makanan: 5
Layanan: …
Lainnya",5 bintang
marcho immanuel,"Mantapppp
Makanan: 5
Layanan:…
Lainnya",5 bintang
Rendy Siswanto,"Mantap
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Selvi Ana,"Pelayanan nya ga bangett, ada customer beli malah di diemin... Judes banget lgi
Jenis pesanan…
Lainnya",1 bintang
Armelia,"kesekian kalinya wfc disini
Makanan: 5…
Lainnya",5 bintang
Anastasia,"mantul sekaliii
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Kevin Alfajri,"Ramah dan Baik Pelayanannya
Makanan: 5…
Lainnya",5 bintang
Farhan Surachman,"nyaman banget tempatnya, cocok buat skripsian wkwkwk
Makanan: 5…
Lainnya",5 bintang
khansa faiza,"temaptnya nyaman, luas, pelayanannya okeee, pw buat nugass
Makanan: 5…
Lainnya",5 bintang
Gheren Imanuel,"Tempatnya bagus, nyaman, baristanya juga ramah ramah
Makanan: 5…
Lainnya",5 bintang
alfina,"cozy place, mantap👍🏻 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Sausan Zahra,"Sayang toiletnya rusak dr kmrnan 😢 …
Makanan: 5…
Lainnya",4 bintang
Viska Esarani,"Ada 2 staff tapi duaduanya ditanya mengenai promo gak ada yang bisa jawab. Padahal yang ditanya ada tepat di depan mesir kasir. Pelanggan pun gak ada disuruh menunggu atau apa, cuma dijawab “tunggu ya saya tanya dulu” terus foto promonya dari hp saya & saya harus tunggu sampai kapan? Lainnya",1 bintang
Renaldy Dwi Muharram,"Lokasi yang tidak jauh berbeda dari di Pecenongan tapi dua-duanya sama2 luas untuk area tempat duduk & yang ini lebih ramai di jam makan siang. Overall semuanya baristanya as always, THE BEST. Thank you.. Lainnya",5 bintang
darwin halim,Kopi kenangan disini tempat nyaman dalamnya. Tapi kalau bawa mobil agak susah parkir nya. Tapi semua terobati dengan kenyaman dlmnya. Pas mantap untuk meeting singkat sambil ngopi ngopi santai. Lainnya,4 bintang
bfshoping store,"KopKen ini ruko 2 Lantai. lantai atas buat arwah Smoking dan di sini ada disiapkan minj Mushola.
Space tabel buat WFC sangat banyak. Dan AC Zuper Dingin. Joss lah. … Lainnya",4 bintang
Riko,"apa ada lowongan pekerjaan
Makanan: 4…
Lainnya",5 bintang
Rahmalia Putri,Ada musholanya👍🏻👍🏻👍🏻 …,5 bintang
yoshh yk,"fasilitas toilet antara perempuan dan cwo harus nya pisah
Layanan: 2",1 bintang
Saitama,Wifinya enggak stabil putus2,1 bintang
ardy wongso,"pengalaman buruk mau pesen dicuekin malah ngobrol berdua, uda di panggil masi belaga ga denger, trainingin lg deh ini pegawainya Lainnya",1 bintang
Ahmad Gugusdepan,"Tempat cozy enak buat nongkrong ngerjain tugas atau ngobrol sama temen
Jenis pesanan…
Lainnya",5 bintang
RRAAV YXC,"RAMAH BANGETT PELAYANAN NYAA, TEMPATNYA JG NYAMAN BGT PLISS BUAT CHILLING². LOVEEE
Makanan: 5…
Lainnya",5 bintang
Regina Soviana,"Buruan baru buka banyak promonya, tempat dan pelayanannya okayyy bangettt🥰🥰 …
Makanan: 5…
Lainnya",5 bintang
Dony Tyasepta,"Kakak nya ramah dan rajin, tmpt nya cocok buat kerja.
Makanan: 5…
Lainnya",5 bintang
Daraa Justy,"Pelayanan baik
Makanan: 5
Layanan:…
Lainnya",5 bintang
MUHAMMAD ARIEF,"kopinya enak, kasir nya ramah
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
DEWIYANTI Hoe,"Tempat nya cozy enak buat nongkrong di lt 2
Jenis pesanan
Makan di tempa…
Lainnya",5 bintang
Andry Leonhart,"Cuman mau take away aj ad tukang parkirnya,",3 bintang
Michael da Silva,"Kedai Kopi TERBAIK... Pohonnya sudah PUNCAK
Jenis pesanan
Makan di tempa…
Lainnya",5 bintang
Windy Sibarani,Tempat yang bagus,5 bintang
Arnold Yudi Nanlohy,"Pelayanan yang baik
Makanan: 5
Layanan:…
Lainnya",5 bintang
Siswanti S,"Secara keseluruhan okeee
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Charlie Chow,"ruang yang nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
Meita Maulani,"semuanya baik-baik saja
Makanan: 5…
Lainnya",5 bintang
Jessica Thalia,luar biasa,5 bintang
Atri Handayani,"Besar!
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Amel Lia,,5 bintang
Yuspi Rio Adhitya,"Bagus
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Maria Theondra,"Bagus
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
hnm,,5 bintang
Jo Nathan,"Bagus
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Juni arta,,5 bintang
lissa adah,,5 bintang
Evan Laia,,5 bintang
aprilia dwi pangestu,,5 bintang
ELLYANA N,,5 bintang
Mindysatrioputra Putra,,5 bintang
jiwa aura,,5 bintang
Abdurrohman Yusuf,,5 bintang
Roni Fernando,,5 bintang
Samuel Sebastian Sentosa KL24,,5 bintang
Elvan Januar W,,5 bintang
siauw hendry,,5 bintang
Alviani Safitri,,5 bintang
Michael Michael,,5 bintang
Vika saputri,,5 bintang
Ricky Dinata,,5 bintang
brigitta lina,,5 bintang
nerrisa arviana,,5 bintang
Feliks Heindradi,,5 bintang
salsabila alifah,,5 bintang
hae rana,,5 bintang
Ghoza Bramantya,,5 bintang
Puji Winarko,,1 bintang
yuliani Kartika Sasqia Putri,,5 bintang
Natasya Lukiman,,5 bintang
vina sari santoso,,5 bintang
Aliya Safitri,,5 bintang
Oky Ubermotor15,,5 bintang
denny arta,,5 bintang
Juan Antonio,Tempatnya cukup nyaman untuk bekerja jarak jauh dan pelayanan serta makanannya enak. Tapi kadang-kadang pesanan kita salah dan mereka tidak melakukan apa pun (bahkan tidak meminta maaf). Lainnya,3 bintang
Alfan Suryantoro,,5 bintang
Dwi Noviana Iriani,,5 bintang
Muhamad Aby,"Bagus
Makanan: 4
Layanan: 4…
Lainnya",5 bintang
Muhamad Hakim,,5 bintang
Safira Cahyaningsih,"Sangat ramah
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Ricky Setiawan,,1 bintang
Cam Hao,,5 bintang
gilang pangestu,,5 bintang
Cherly Via,Layanan pelanggan yang buruk.,1 bintang
Nimea Alexa,,3 bintang
t,,5 bintang
kristina sinaga,,5 bintang
Jeane Sondang,,5 bintang
Deasy Rayuni,,5 bintang
Agus Widiant,,5 bintang
