Nama Pengulas,Ulasan,Rating
Kafi Arifansyah,"baristanya ramah speed service rekomended!!’
Makanan: 5…
Lainnya",5 bintang
Mimi Saumi,"❤️❤️ best banget pelayanannya
dan kopinya enak 🥰 …
Makanan: 5…
Lainnya",5 bintang
Riyan miftahul Anwar,"baik
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
veni narts,"Kopi nyaa enak mantap is the best
Makanan: 5…
Lainnya",5 bintang
muhamad akbar,"pelayanannya cepat, baristanya ramah
Makanan: 5…
Lainnya",5 bintang
Dini Tri damayanti,"kopi nya enak pelayanan nya baik
Makanan: 5…
Lainnya",5 bintang
Sheva Qiana,Minuman bread nya enak sy suka..pelayanannya ramah mb nya cantiik bgt...tmpat nyaman..harga is oke pengen balik kesitu lagi.. Lainnya,5 bintang
Odrie Yulita,"pelayanannya bagusss🤩🤩❤️ pada cantik2&ganteng2 jadi enak dipandang🤭🤭❤️ …
Makanan: 5…
Lainnya",5 bintang
adinda dwi asyifa,"baristanya yang namanya mutiara cantik banget<3
Makanan: 5…
Lainnya",5 bintang
Ivan Jgs,"Tempatnya bersih, pelayanan cepet kok...
Jenis pesanan
Makan di tempat",5 bintang
rahmadyah fitrianingsih,Kopi kenangan emang yg terbaik si harga nya lumyan murah tapi rasa ngak murahan untuk cabang yg ini memang ngak semua dessert ad tapi varian kopinya komplit kok Lainnya,5 bintang
Mrs.N,"Saya suka kopi kenangan. Cuma kemarin saya beli creamy aren latte gak ada rasa kopi sama sekali, wqrna juga dominan susu. Rasa cuma susu dan gula aren, ini lupa naro kopi atau kopi nya dikurangi yaa, karena biasanyaaa yang saya minum kopi dengan rasa cremy enaaaakkk Lainnya",4 bintang
Zaidan Fadiel,"pelayakan lambat
Layanan: 1",1 bintang
Livia,"kangen kue ini, cocok banget disandingkan dengan kopi",4 bintang
Endang Antarwati,"Pos pemeriksaan pertama saya saat menuju kantor!!
Hidup memberi Anda cukup energi ketika ada kopi!!
T…
Lainnya",5 bintang
Martenz Vandreva,"Kopi yang enak dan pelayanan yang baik.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
n s,🤩 …,5 bintang
Goenawan Muhammad,,5 bintang
Nur Jannah,,5 bintang
Kartika Ayuu6,,5 bintang
Ilham Chanif,,5 bintang
Dian Damanik,,5 bintang
Muhammad Ahdiyar Syahrony,,5 bintang
Papi Pon,,3 bintang
Aditya Janu Prasetyo,,5 bintang
Yovi Andrean,,5 bintang
Aulia Nurul,,5 bintang
Istikharoh,,5 bintang
leona nurshakila,,5 bintang
Anggun Tiara Elvira,,5 bintang
Hilal Jhone,"Bagus
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Faiz Naufal,"Pelayanan prima
Makanan: 5
Layanan:…
Lainnya",5 bintang
Hasta Nugraha,,5 bintang
ZN 04,,5 bintang
"Dede Setyawan, llon's_",,5 bintang
Hati Bayangan,,5 bintang
Muhammad Hatta,,5 bintang
Fadly Gaspol,,5 bintang
SITI AISYAH,,5 bintang
risna yuliani,,5 bintang
Ayu Rustiani,,5 bintang
Christoper hs,,5 bintang
indah wahyuni,,5 bintang
rabbani Bilfaqih,"Bagus 🙂 …
Makanan: 5
Layanan:…
Lainnya",5 bintang
Sunaryo Aryo,,5 bintang
Shaumy Ashrizatillah,,5 bintang
revo brian,,5 bintang
Ega Saputra,,4 bintang
Aprillia,,5 bintang
DAMAR SIVO,,5 bintang
Muhammad Rizqy Al Fathir,,5 bintang
Dinda Pinandita,,5 bintang
Adilla Trimurti Danty,,5 bintang
Adilla,,5 bintang
jd_rumifia channel,,5 bintang
Irvan,,5 bintang
Reza Tajibally,,5 bintang
rafli Putra,,4 bintang
Blawong Iya,,5 bintang
Siti Maryam,,5 bintang
taufik hidayat,,5 bintang
