Nama Pengulas,Ulasan,Rating
Thaniel Abe,"TOILET NYA SERING DITUTUP.. ""TOILET RUSAK""
Perasaan sering kesana dan sering bgt rusaknya. sadarnya pas udah pesen.. pas duduk liat ""Toilet Rusak"" Lainnya",2 bintang
Lim Chin Chen Meyti Haliza,"semoga ada lt 2 biar lebi luas
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Rani Widya,"pelayannya ramah banget, senyum terus sumringah. lovv bgt
Makanan: 5…
Lainnya",5 bintang
Endah spw,"Buka 24 jam, pelaynan ramah",5 bintang
Nur Hidayat,jorok wc nya cuihh,1 bintang
Rakhel Tan,"Enak banget buat kerja atau ngobrol sama temennn
Jenis pesanan
Makan di …
Lainnya",5 bintang
Arip Bolang,"ngopi di mari kopi nya lebih berasa
Makanan: 5…
Lainnya",5 bintang
Daniel Jandi,"Lumayan tenang, bisa buat kerja
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Roti Blube,"Bagus
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Mega Feranti,Lokasi di samping pho bac,5 bintang
dila febiyansyah,,1 bintang
Riska Apryn,"best pokoknya kopken,tempat paling enak disini
Makanan: 5…
Lainnya",5 bintang
Tae Tae,"gua kaya di usir secara halus sama baristanya gara gara kelamaan di situ, padahal posisinya lagi hujan walau ga deres deres amat. gua lagi nunggu ujan berhenti atau se engganya reda,tapi udah 2x gua kerasa kesindir gara gara baristanya … Lainnya",4 bintang
ratna sie dewi,Kesel… minta plastik katanya harus pesanan online… lah kan gue juga beli kocak!!! terpaksa minta sama tukang kebab.. Lainnya,2 bintang
Dewi Rahmawati,"senyum kasirnya manis banget, sampe bikin diabetes.
Makanan: 4…
Lainnya",5 bintang
Alma Fadya,"Pelayanan nya mantappppp , kopinya pas
Makanan: 5…
Lainnya",5 bintang
bagas karang,"Kopken ternyaman untuk kerja belajar dll. kebersihanya oke banget pelayananya mantaappp josss
Jenis p…
Lainnya",5 bintang
Nandi Setiawan,"Enak lah pokoknya
Makanan: 5
Layanan:…
Lainnya",5 bintang
aan,"Tempat nya nyaman enak buat berdiskusi, bersih juga , untuk kopinya enak harga Worth it
Sukses terus Lainnya",5 bintang
Dinataskia Official,"Tempatnya nyaman, bersih, pelayanan nya cepet banget, enak dibuat nongsss gokill.
Makanan: 5…
Lainnya",5 bintang
Kurnia Sakinah,"tempatnya nyaman, karyawan nya ramah ramah, bestt lah pokoknya
Makanan: 5…
Lainnya",5 bintang
Suci Rahmawati,"suka banget nongs disini. Pelayananannya cepet banget dan baristasnya ramah ramah.
Tarif per orang…
Lainnya",5 bintang
Nayra Nurviani,"baristnya ramah,kopinya jadinya cepat banget
Jenis pesanan
Makan di temp…
Lainnya",5 bintang
Qadafi Maulana,"Tempatnya nyaman dingin enak buat nugas
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Agita Rarirare,"Pelayanan nya ramah, tokonya bersih, kopinya enak banget
Jenis pesanan
M…
Lainnya",5 bintang
pejompongan123,"Baru order langsung jadi, pelayanan cepat, baris tanya ramah ramah
Jenis pesanan…
Lainnya",5 bintang
