Nama Pengulas,Ulasan,Rating
yesi chandra,"Enak kopinya, cozy buat nongki, bengong, ngobrol, me time.
Tarif per orang…
Lainnya",5 bintang
Oppa Kuliner,"spot win-win dan ramah kantong utk duduk dan ngopi di mall daerah sini.
Makanan: 4…
Lainnya",4 bintang
Hana Augustine,"Tempatnya enak, bnyk jendela besar, service jg ramah. Tapiiii notes untuk owner please : aku liat lngsung kopi panas2 nya dituang ke gelas plastik 😱 !aku sampe ga jadi mesen, akhrnya mesen yg lain. Memang kopi nya fresh, memang mgkin … Lainnya",4 bintang
Hendro Pramono,Kopi kenangan dengan tempat duduk terbanyak yang pernah saya datangi,5 bintang
Iman Sofian,Kalo emang ga siap jualan online. Tutup aplikasinya. Jangan jadikan driver jadi tumbal kecurigaan customer. Ditanya ko lama. Di kasih bintang buruk oleh customer. Kalo emng gas siap ya ga usah online. Percuma. Lu punya aplikasi gobis … Lainnya,1 bintang
Gitta Jessica,Kopi nya sih enak tp Sebel ga bisa sambil nge charge laptop buat ngerjain tugas di cafe nya... Gak ada colokan sama sekali... Tau gtu di toko sebelah aja.. pdhl harga jg sama kisarannya 😵‍💫 … Lainnya,3 bintang
Nandana Nareswara,"Kopi kekinian dengan harga terjangkau, es kopi kenangan mantan juaranya! Kalau yg hot kurang nendang rasanya. Selain itu di sini juga tersedia cake, dengan konsep cafe minimalis. Menerima pembayaran cash, debit/credit, juga waktu review ini … Lainnya",4 bintang
Deasy Foodie,"Kopi kenangan
Favorit aku disini yaitu es kopi kenangan mantan, yaitu kopi susu gula aren, kopinya berasa banget, tipenya yg bold, dengan gula aren khas mereka yang wangi … Lainnya",4 bintang
Enjoy Life Simple,"Salah satu store Kopi Kenangan Favorit ku, karna berkonsep mini cafe dengan kaca besar pencahayaan sangat baik.. awalnya agak bingung karna logo di depan store berbeda tapi karena logo authentic Kopi Kenangan berlambang hati mudah di … Lainnya",5 bintang
Felix Andrian Nugroho,"Tempat barunya bagus dan terasa lebih luas
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Andreas Ferbi,"Sebelum saya pesan latte 2 regular & 1 large..yang keluar 3 reguler

Saya pesan freezy mango yuzu, yang keluar raspberry mango yuzu … Lainnya",1 bintang
DeLeCa,"Beli di CP terus jalan ke SOHO beli menu yg sama saat mau pulang karena parkir di SOHO. Kopinya Rasanya bisa berbeda atara yg di CP dan di  SOHO. Di SOHO nunggu pesana sampai 15 menit, di CP 5 menit padahal rame di CP. Dan di SOHo rasanya lebih hambar seperti kebanyakan air",1 bintang
