Nama Pengulas,Ulasan,Rating
Vicky Tanamal,"Harus coba kopi kelapa sih! Di sini kopi kelapanya ready terus, gak kaya di kopi kenangan lainnya.
Je…
Lainnya",5 bintang
Syifa Syafira,"Sangat nyaman untuk belajar dan juga bersih tempat nya
Jenis pesanan
Mak…
Lainnya",5 bintang
Bayu Erlangga,"Kedai kopi di pertemuan jalan menuju pulang, nice 👍🏻 …
Jenis pesanan
Mak…
Lainnya",5 bintang
AR Regho,"Bau masuk ruangan langsung disambut sama bau kopi
Best deah mantap
Jenis pesanan…
Lainnya",5 bintang
Rido muhammad Sait,"Baristanya mandang penampilan customer yah kalo ngelayanin wkwk depan saya yg beli penampilannya rapih kaya orang2 berada, saya beli emang penampilannya gaserapih yg depan saya tp kan saya beli juga bayar juga sama bukan ngutang🤣 lain kali … Lainnya",1 bintang
krisna yericho,"kok kopi nya ada esspreso bubuk nya sih
Jenis pesanan
Bawa pulang…
Lainnya",1 bintang
19221085 ROBY ZILMI,"yang jaga kasir tidak ramah mukanya judes bgt,tidak menerima payment cash padahal uang cashnya pas g tidak kembalian,payment cash pdhl metode pembayaran yang sah,udah kaya metode pembayaran zaman kuno kali yaa cash skrg",1 bintang
meiga ayuu,"the best dah KopKen joglo, pokonya tetap ramah ya
Jenis pesanan
Makan di…
Lainnya",5 bintang
Figyuameka,"Biasa pesan Lemon black tea dikenangan cabang lain enak lemonnya berasa, ini pahit doang lemonnya ga berasa",1 bintang
Tony Larbes,"Bersih nyaman, Ramah pelayanannya
Makanan: 5…
Lainnya",5 bintang
R F,Beli oreo shake. Kirain diblender atau paling ga oreonya udh ancur sblm dicampur susu. Ternyata bener2 cm susu sm bbrp oreo utuh. Jdnya di akhir stlh susunya abis ada tumpukan cream oreo yg ga bisa ancur. Kl cm oreo ditaro ke susu doang mah tau gt pesen yg lain atau bikin sendiri sekalian Lainnya,3 bintang
Kristianah Fitria,Sayang banget plastiknya masih kresek belom yang kain,5 bintang
Hani Arizka,"Oke lah tempat nya luas kok cuma ada kang parkir nya reeseee hahaha
Makanan: 5…
Lainnya",5 bintang
Aulia Ramadhana,"Buat mau nongki tanpa asap bisa di dalam atau diluar buat yang mau merokok
Jenis pesanan…
Lainnya",5 bintang
Retro Klasik,"Lamaaaaaa gw nungguin orderan..... TAI
Makanan: 1…
Lainnya",1 bintang
Mirna Avrialica,"Bingung aja coffe shope segede itu di lt 2 nya gaada colokan yg tersedia.  Coffe shope selain tempat buat ngopi dan nongkrong kan dipakai juga ya untuk kerja, ngerjain tugas yg pasti pakai laptop ya, tp gaada colokan untuk itu yg tersedia. Saran sih sediain fasilitas untuk itu. Thanks",1 bintang
Wahyu Hagono,Kopi nya penuh kenangan rasa nya. Harga nya penuh kenangan juga. Tempat nya perlu ditingkatkan kebersihan dan kerapihan nya supaya terus jadi kenangan indah. Disini juga ada Chigo nya (bersebelahan) jd kalau mau makan berat juga bisa. Lainnya,4 bintang
Darma Wangsa,Parah banget hari ini beli kopi tp ga dapet kopi nya gara gara yg ngelayanin jutek dan sangat sangat sangat lama....alhasil harus pergi dan ga dapet kopi nya..seumur umur beli kopi kenangan baru kali ini udah bayar tapi ga dapet kopi.. sumpah nyesel bgt duit ilang gara2 pelayan edan....,1 bintang
Mulky Rizfy Izmul A,"Ruko lantai 3, buka 24 jam. Tapi colokan ga ada, pelayan cuman 1 di jam rame, musholla juga ga ada
Makanan:…
Lainnya",2 bintang
Carel Felix,"Ayam dan kentangnya enak, untuk pelayanannya ramah, tapi very very very very very very very very very very very very SLOWWWWWWWWWWWW.. Pesan ayam 1, cola 1, french fries 1 tapi pesanan saya sangat lama sekali datangnya, bisa 15-20 menit lebih dengan kondisi tidak ada pelanggan lain alias lagi sepi. Lainnya",2 bintang
Harimau Sumatera,"Terlalu gelap untuk outdoor nya
Dan saya tau mau close order cuman ya permisi atau basa basi apa gitu,itu kan bangku semuanya terbuat dari besi ya trus pas saya lagi nobrol mas nya pas benerin jadi kebentur2 Lainnya",3 bintang
fadhlulloh,"Tempat enak tp sayang parkirnya kecil, klo mau kesini enak naik motor aja
Jenis pesanan…
Lainnya",5 bintang
Irwansyah Irwan,"Sangat bagus sekali
Jenis makanan
Makan siang…
Lainnya",5 bintang
akbar kesuma,"Rasa kopinya sudah ga seenak dulu, lebih banyak airnya. Rasa kopinya tipis2. Padahal pesennya udah less ice, less sugar. Lainnya",3 bintang
Jonathan Raynard,"Pesan 1 es kopi kenangan mantan aja masa nunggu hampir 1 jam baru jadi. Cabang terlelet 👎🏼 …
Jenis pe…
Lainnya",1 bintang
Bekti Y. Siahaya,"Mantab semua... barista nya ok semua.. ramah dan friendly.. top deh kopi kenangan Ruko Joglo..
Pertahankan terus pelayanan dan rasa kopi nya ya..
Sukses.. Lainnya",5 bintang
Campur Campur,"Tolong yang tukang parkirnya di perhatikan agar lebih menghargai pembeli.
Layanan: 1",2 bintang
A,"Lokasi strategis dan sekarang sudah buka 24jam. Bangku juga banyak, ada outdoor & indoor.
Jenis pesan…
Lainnya",5 bintang
Imaz Arie,"Nice place, cocok buat nongs atau wfc",5 bintang
M. Alezzandro MZ.,"Layanan cepat dan ramah. Sebelahnya ada mini market khusus korean food.
Jenis pesanan…
Lainnya",5 bintang
David Susanto,Sayang roti toast choco chees nya bnyk minyak banget jd ditangan nya berminyak dan agak lembek jd kurang enak lah. Lainnya,3 bintang
Bunda Thisa Fania,"Pulang CFD pengen ngopi. Dimana-mana tutup, disini udah buka. Tempatnya luas enak buat ngopi outdoor. Lainnya",5 bintang
Abdul Malik,Promo side by side samsung kulkas hanya 9jt sudah dapat kapasitas besar,5 bintang
Suherman Aburizky,"Biasa aja pertama kali beli kopi kenangan.
Makanan: 3…
Lainnya",3 bintang
Ning Achie,"kopinya enak, rotinya juga enak. Harga bersahabat.
Dan yang paling penting, buka dari pagi.
Mantap.",5 bintang
