Nama Pengulas,Ulasan,Rating
Immia,"Sekarang udah jadi Kenangan boulangerie, semakin keren tempatnya dan lebih banyak pilihan rotinya. Ada mesin untuk self order juga. Ada banyak colokan juga buat yang mau sambil wfc. Kopi nya juga makin banyak pilihan walau kopi kenangan mantan masih jadi favorit 😄 … Lainnya",5 bintang
Anton Kristanto,"Outlet kopi kenangan versi premium... The best banget pelayanan dan suasananya. Sangat mewah
Jenis pe…
Lainnya",5 bintang
Delverland,kalo makan siang sering beli kopken walaupun antrian panjang banget tapi pelayanannya tetep gercep salut banget👍kopinya juga enakkk banget😋🫰 … Lainnya,5 bintang
Christian S,"Semuanya pasti udh pd tau sm KopKen kan..
Utk tempatnya di sini bagus/cozy, mirip kafe sekelas st*rb*cks, enak utk meet-up dgn tmn2, & dgn harga yg lbh affordable. Cm kl hr Minggu, suka rame bgt susah dpt tempat.. Lainnya",5 bintang
Jade Ayu,Pilihan kopi yg menyenangkan dengan harga standar di tengah2 mall yg memiliki banyak gerai dgn harga lbh mahal. Rasa2nya baru kali ini saya melihat KopKen dengan tempat duduk yg cukup banyak dan interior yg cantik di mall. Atau mgkn sayanya … Lainnya,4 bintang
Asri Derulo,"Tolong yang cuma mau ngopi sendiri jangan ambil space sofa yang satu meja bisa ber 4, mubazir aja itu 3 tempat duduk harus kosong bisa lebih dari setengah jam",5 bintang
N.S Devyana,"Order kopi kenangan di kokas ini LIGHT BANGET rasanya dan WARNA nya pucet banget, saya hampir setiap hari beli di outlet lain kopi kenangan minta sugar 25ml warna nya ga gini dam kopi nya terasa. … Lainnya",1 bintang
Kenny Fitriyani,Gw penasaran dgn kopi dubai nya cab kokas wkt kemarin gw sdh beli di cab tebet lalu gw belilah di jam 8:40 malam. Gw perhatiin barista buat kopinya. Gw kaget. Saat di aduk kopi yg pny gw. Baristanya aduk pake gagang centong . Sumpah jorok. … Lainnya,1 bintang
Chyrio Eleyson Hutajulu,"Selalu bangga dengan brand lokal yang sekeren kopi kenangan
Makanan: 5…
Lainnya",5 bintang
Laki Bini,"Nah kali ini ada inovasi menu dari @kopikenangan , yang akhirnya keluarin produk makanan @ceritaroti … Lainnya",5 bintang
