Nama Pengulas,Ulasan,Rating
azka fathoni,"Tempat kopi yang sangat saya sukai karena tempatnya nyaman, aman dan damai. Pelayanannya juga bagus karena murah senyum, semoga kedepannya bisa sukses dan tempatnya bisa ditingkatin jadi 10 lantai. Lainnya",5 bintang
Isabella Faras,"best pokoknya
Makanan: 5
Layanan:…
Lainnya",5 bintang
renaldo wangsa,"pelayangannya baaik, dan cepat
Makanan: 5…
Lainnya",5 bintang
Andika Ap,"Tokonya nyaman, pelayanan nya ramah, bikin betahhh
Makanan: 5…
Lainnya",5 bintang
Nur Maya,"tempat nya nyaman bgt, bersihh, asik dan ramah pelayanannya😍 …
Makanan: 5…
Lainnya",5 bintang
afi yunita,"mantep
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
aku jejess,"mantep
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Fajar Iskandar,"Kopi nya ngopi banget

Selamat / Sukses 🙏🏼 …
Jenis makanan
Lainnya…
Lainnya",5 bintang
Kiyosa,"aku suka kakak kakak baristanya ramah sekali, bintang lima untuk kakak nayaka dan kakak icha ^^ sangat amat recommend buat skripsian disini, i’ve spent 8 hours a day here buat nherjain skripsiii and its totally fun and enjoyable!!!",5 bintang
Daiva Tsany,"Jujur asik bgt disini, tempatnya nyaman dan top banget deh pokoknyaaaaaa. Senengggg.
Makanan: …
Lainnya",5 bintang
Raisyah Camilia Ch Anwar,"tempatnya pw sekali
Makanan: 5
Layanan:…
Lainnya",5 bintang
Rasya Putranto,best banget tempatnyaa,5 bintang
Yanuar Danu Artha Pratama,"kopinya nikmat
Pelayanan asik
Sangat menyenangkan
Jenis pesanan
Makan di…
Lainnya",5 bintang
Alief Suzuki Mobil,"Asikk dan ramah pelayananya
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Risco Herlambang,"Bersih bgt tempat nyaa
Tarif per orang
Rp 1–25.000…
Lainnya",5 bintang
Cucu Setyawan,Aku padamu mba casa wkwkwkwk 😘😘😘😘 muah muah muah …,5 bintang
nando putro,"tiap hari kesini gada bosen bosennya entah dari kopi dan makannya yang enak banget, bahkan pelayananya oke orang orangnya baik dan asik juga. cuma tolong bgt itu tukang parkir ada beberapa yg minta uang parkir lebih dari kata wajar. terimakasiii Lainnya",5 bintang
Muhammad Rajjaz,"Tempat oke, apalagi yg oke?
Makanan: 5…
Lainnya",5 bintang
Zaidan Nawawi,Tempat nya asik kane 24 jam open dan pelayanan nya ramah bngt thanks banget buat kopken sini best deh pokonya Lainnya,5 bintang
Melva Isma Imelda,"Pesen via aplikasi, dan beberapa nomor pesanan, karena bbrp kali CO dalam waktu yg sama. Pas ambil staff dan manager atau SPV nya itu help full banget. Bantuin masukin ke goddie bag sampe make sure kalau ga tumpah, prnh di bbrp outlet yang berbeda cuma dikasih pesanan dan ga dibantuin hehe.",5 bintang
Maulidina Juniar,Boleh ga sih sound lagunya di kecilin sumpah siang siang tuh panas di tambah rame nya org yg pada ngobrol Lainnya,2 bintang
Na Gustina,"best banget peelayanan disini gercep ramah
Makanan: 5…
Lainnya",5 bintang
Dina Elka damayanti,tempat nya luas oke banget buat nongkrong. baristanya juga ramah semua,5 bintang
Ahmad Fauzi,"Barista nya asik
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Nara,"Pengalamanku disini baik. Karna sebelum datang sudah order di aplikasi, jadi ketika datang langsung ke area pick up dan bilang ke masnya mau pick up. Langsung direspon oleh masnya dengan bertanya atas nama siapa lalu diminta untuk menunggu … Lainnya",5 bintang
Dhea frisca,"servicenya bnrn ga bgt, baristany jg g ramah jutek bgt, kerja di jasa pelayanan masa ky gni? wkwk, di tiktok brandingnya bagus tp pas dateng bnrn ga bgt di bar ada 3org 1 cwe yg rambutny potongan laki, 2nya cowo. alhasil cmn duduk bentar lngsung pindah ke kopken binplaz. Lainnya",1 bintang
Nyzhar Saputra,"First time kesini Minggu, 12 April 2026 Jam: 04:48 Dini hari

1. Mau pesan Kasir Malah Nongkrong Gue Nunggu 15 Menit lirik sana lirik sini … Lainnya",1 bintang
Hafizh muhaz,"Outdoor bocor, merembes, bintang 5 nanti kalo udah di fix
Makanan: 5…
Lainnya",3 bintang
Peter Jordan,"Tolong banget kalo cust nanya di jawab, bukan dibalas dengan pertanyaan dengan nada yang gak sopan
Je…
Lainnya",1 bintang
AUD Family Channels,"Ini kali ke 2 beli kopi kenangan di hos Cokroaminoto, rasan tidak enak, tidak terasa kopi dan terlalu banyak creamer.
Pelayanan nya kurang ramah tidak menyebutkan ulang pesanan yg saya pesan, … Lainnya",2 bintang
Arya Putra Prawira,"Jelek banget, berisik banget speakernya. Cafe berasa gacoan
Jenis pesanan…
Lainnya",1 bintang
Zahran Muhammad,"Speakernya terlalu besar dan sember, ganggu pelanggan yg sedang berdialog dan berdialektika",3 bintang
Yudhistira,"dan, yang singgah harus pulang.
Makanan: 5…
Lainnya",5 bintang
Mutiara Putri 1109,"untuk penampilan rotinya kurang layak , packingan pada paper pouch kotor
Jenis pesanan…
Lainnya",2 bintang
manda,"Orderan masuk 5:15, 5:37 baru cetak struk, 5:40 masih nyuci peralatan, 25 menit ngapain aja boy
Jenis…
Lainnya",1 bintang
RARA,"Saya menemukan tempat favorit baru saya. Baik Anda membutuhkan tempat tenang untuk tetap produktif atau tempat hangat untuk berkumpul dengan teman-teman, inilah tempatnya. … Lainnya",5 bintang
Annisa Nurviani,"Tempat yang bagus untuk dikunjungi. 💖 …
Makanan: 5…
Lainnya",5 bintang
Iqbal Firdaus,"Selalu penuh sesak
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Bagas Caca,,5 bintang
khayla putri,,5 bintang
Devin Sndrva,,5 bintang
kambing terbang,,5 bintang
Tiffania Hapsari,"atas
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Syahid Ramadan,"Pengalaman bersama seorang teman
Jenis makanan
Lainnya…
Lainnya",5 bintang
Muhammad Agus Firmansyah,,5 bintang
Della Zata,,5 bintang
Prisyella Kusuma,,5 bintang
Aisya Valencia,,5 bintang
Ade Indriani,,5 bintang
Dinda Aurelia Ramadanita,,5 bintang
Alkhansa K,,5 bintang
Laili Bea Alfira Putri,,5 bintang
Faydhan Zilva,,5 bintang
Mila Rosana,,5 bintang
Hamim Alfarij,"stabil
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
lintang kireyna,,5 bintang
Arif Jubaedi,,5 bintang
Khansa Nai,NYAMAN SEKALI,5 bintang
Salwa Ratu Cahyani,,5 bintang
Raisya Shofiana Maula,,5 bintang
falia afrilia,,5 bintang
prlia aprl.,,5 bintang
Nabila Nabila,,5 bintang
JASMINE KANAIRA,,5 bintang
Tong Kan,,5 bintang
