Nama Pengulas,Ulasan,Rating
Adam Khoirul,"terbaik🫶 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Arya Rasya,"pelayanan bagus banget😁 …
Tarif per orang
Rp 25–50 rb…
Lainnya",5 bintang
Helmy Razani,Chill tempatnya,5 bintang
Najwa Afifah Amalia,"pelayanannya cepat, barista ramah, tempat bersih dan nyaman, cocok untuk wfc, nugas, cocok chit-chat bersama temann! 🤩 … Lainnya",5 bintang
M Faathir habibi,"Omaygotttt pelayan nama Abdul Syahid guantenkkk banget
Makanan: 5…
Lainnya",5 bintang
Muthia Hafizhah ningtyas,"seruu
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
cecilia rahmawati,"Bagus
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Shafa bilqys Wantoro,bagus,5 bintang
Celsy Fariha,"Enakkk
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Anamaria Putri,"enakkk
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Zakiah muslim,"Pelayanan nya bagus bgtt, kopi nya enak + banyak promo dan diskon menarik cocok buat kamu yang mau ngopi dengan harga pelajar 😍 … Lainnya",5 bintang
Anis Agustianengsih,"Bagusss tempatnya bisa buat ngerjain tugass
Makanan: 5…
Lainnya",5 bintang
Nailah Talita Zahidah,"pelayanannya okee cepet banget pls, cinta kopken
Suasana: 5",5 bintang
rizki mona oktavia,"Pelayanan ramah
Makanan: 5
Layanan:…
Lainnya",5 bintang
Amelia Putri,"enak bangetttt
Makanan: 5
Layanan:…
Lainnya",5 bintang
novy kalisaa,"enak bangett tempatnya
Tarif per orang
Rp 25–50 rb…
Lainnya",5 bintang
ZANETA ZHAFRAH,"kopi enak
Makanan: 5
Layanan:…
Lainnya",5 bintang
Arsyi Rizkya,"ramah
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Eddie Fredrog,"Pegawai nama Tamam ganteng banget. Apalagi Americano-nya
Jenis makanan
M…
Lainnya",5 bintang
avia octaviani,"pw buat nugas, banyak banget colokannya dengan harga yang murah tapi rasanya enak. banyak juga promo promonya. pw deh kalau nugas di kopken sini ataupun nongkrong Lainnya",5 bintang
miracle,"tempat nya nyaman, cocok buat kumpul"" dan bisa juga buat Kerkom
Jenis makanan…
Lainnya",5 bintang
Anshori Fudholi,"Pelayanan dan produk nya terbaik
Jenis makanan
Lainnya…
Lainnya",5 bintang
Fachmi Maulana,"kopi nya enak barista nya ramah
Makanan: 5…
Lainnya",5 bintang
Emi Krismawati,"Barista nya ramah"" Puollll rasanya engga berubah
Makanan: 5…
Lainnya",5 bintang
Hanif Fadhilah,"tempatnya enak pelayanannya rame
Makanan: 5…
Lainnya",5 bintang
Rizki Aprianto,"Adem pelayanan nya ramah asliiii dkt kerjaan
Makanan: 5…
Lainnya",5 bintang
Jihaaaw,"jadi tempat santai banget ngopi sambil kerja di sini, cozy cocok banget buat orang yang mau wfc
Makanan:…
Lainnya",5 bintang
Virna Restu Aulian,"Bagus tempatnya buat nongki rekomen banget
Makanan: 5…
Lainnya",5 bintang
Alan Trans,"Barista nya ramah² the best pkonya
Jenis makanan
Lainnya…
Lainnya",5 bintang
Bagja Yuana Putra,"Tiap istirahat kerja selalu datang ke sini, baristanya semua baik dan ramah tanpa terkecuali.. kebersihan juga bagus.. tiap beberapa waktu sekali kebersihan selalu di maintance.. rasa kopinya selalu konsisten sama walaupun barista yg buat … Lainnya",5 bintang
Denzel Huzaifa,Kopikenangan puri utama tempat nya cozy banget dan barista nya ramah banget apalagi mba Devi dan mba lintang . Nyaman buat nongkrong disini Lainnya,5 bintang
dhinar oktavia,kalo lg pgn ngelanjutin kerjaan sambil ngopi ak suka bgt ke sini! ambiencenya sgt top dan baristanya super helpful Lainnya,5 bintang
Gusti Qurrota Aini,"enak tempatnya buat nongki pulang kantor, bersih lagi
Makanan: 5…
Lainnya",5 bintang
Tolo mbelik miri,"Pelayanannya kurang memuaskan sering di cuekin kalo mau pesen
Tarif per orang…
Lainnya",4 bintang
dinantiar anditri,untuk ka devi pelayanan nya sangat ramah dan kerja nya rapih juga cepat. Cepat tanggap dan aktif.😍😍 … Lainnya,5 bintang
Ipung234,"Tolong donk jgn nunggu driver ojol dtng baru dibikinin orderanny,,driver tuh butuh wktu 10mnt utk ke Resto sdngkan orderan masuk lebih dlu ke resto berarti orderan sdh lbh dri 10mnt kan Lainnya",1 bintang
sheliana yudistira,"Tempat yang nyaman untuk bekerja dari kafe. Kapasitas tempat duduk lebih banyak daripada kedai kopi Kenangan lainnya di sekitar sini. Tersedia area merokok di lantai 2. Dekat dengan Solaria jika Anda ingin makan siang dan makan malam, … Lainnya",5 bintang
Wendy Karunia,"Kopi enak, pelayanan bagus.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Vincensia Ratna,"Cukup bagus.
Tarif per orang
Rp 25–50 rb…
Lainnya",4 bintang
KM Suria,"Mereka mencoba.
Jenis pesanan
Bawa pulang…
Lainnya",3 bintang
silfana habibah,,5 bintang
Nusantara Yusup,,5 bintang
MFH 13,,5 bintang
Juwita188 Uwi,,5 bintang
Fajra Manulang 1,,5 bintang
Muhammad Fauzan,,5 bintang
Mutia Solihat,,5 bintang
Anita Barsellina,,5 bintang
Nisa Ica,,5 bintang
Ardila pramesti,"Terbaikttttttt.
Makanan: 5
Layanan:…
Lainnya",5 bintang
Silfana Habibah,,5 bintang
Suci Pratiwi,,1 bintang
Listi Anto,,5 bintang
Herawati Hidayat,,4 bintang
acepganteng,,5 bintang
Olifvia Dwiyanti,,5 bintang
Anisa Fahma,,5 bintang
Rania Redhamutia,,5 bintang
Rifa Khoffifah,,5 bintang
Aisyah Humairah,,5 bintang
Nadiaa Mugiwara,,5 bintang
Viola Adelia,,5 bintang
Levin ThomasJJ,,5 bintang
Nata Monica,,5 bintang
Muhammad Rafif Andaru Zumar,,5 bintang
Rifqi Jaeni Saputra,,5 bintang
ayasha azzahra,,5 bintang
dewi anatsya,"Lumayan nyaman untuk WFC hehe
Tarif per orang
Rp 50–75 rb…
Lainnya",5 bintang
rifky Zidan,,5 bintang
zenelia,,5 bintang
Nurmala Dewi,,5 bintang
Nabilla Khumairah,,5 bintang
Muhammad Bayu Cahyadi,,5 bintang
M Syaifullah Yusuf,,5 bintang
Yogi Pratama89,,5 bintang
hendri ari,,5 bintang
Revan Syam,,5 bintang
