Nama Pengulas,Ulasan,Rating
ARY Wicaksono,"Lelet pelayanan tidak Professional
Layanan: 1",1 bintang
Gueva Jov,"Kopi disajikan dengan rasa yang sangat gosong
Jenis pesanan
Makan di tem…
Lainnya",1 bintang
Emir Mirza,"Kopinya enak, pelayanan bagus , tempat minum ditempar nya saja kurang luas
Makanan: 5…
Lainnya",4 bintang
Rizky Tegar,"Tempatnya nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
rafli yanuar,"cocok banget buat gua yg suka keheningan, suasana lantai 2 nya bikin gue tenang
Jenis pesanan…
Lainnya",5 bintang
Ibrahimsyah Zairussalam,"Tempat nyaman dan relatif dekat dengan stasiun MRT. Namun belum tersedia wifi
Makanan: 5…
Lainnya",4 bintang
Benito Rama,"Selalu tidak pernah mengecewakan, servisnya cepat, kopinya bintang 5, recommended 👍🏻 …
Jenis pesanan…
Lainnya",5 bintang
Bayu Dwi,"pelayanan nya bagus, tempat nya juga enak buat santai, ac nya dingin, tersedia kamar mandi juga
Jenis…
Lainnya",5 bintang
Redy Anggaretno,"Enaknya konsisten, barista erika ramah banget jadi pengen kenalan",5 bintang
Adita Ramaniya,"tempatnya nyaman buat ngopi sambil nugas
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
casmadi madi,"Tempat strategis, mudah ditemukan dan pelayanan nya baik
Jenis pesanan
P…
Lainnya",5 bintang
tasskja nofeyska p,"Earl grey milk teanya gaenak
Makanan: 1",1 bintang
Fajar Maarif,Pelayanan ramah,4 bintang
Rosy Roshala,"Nyaman buat nongkrong
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
muhammad anis,"Enak2 kopinya...paporit anak2 dan istri
Makanan: 5…
Lainnya",5 bintang
Amalia Hasyyati,"Ramah ramah semua baristanyaa💯✨🤍🤍 …
Makanan: 5…
Lainnya",5 bintang
adi cahya,"satu jalaur dengan arah pulang kantor, jadi sering kesitu.",5 bintang
Evelyn Clannatan,"Ini dekat kantorku, hiihii. Oia,pelayanan ramah.. 😇 …
Jenis pesanan
Bawa …
Lainnya",5 bintang
