Nama Pengulas,Ulasan,Rating
Shafa Najwa Aqilla,"first time kesini langsung dapet pelayanan yang baik pokoknya mampir lg kesini
Makanan: 5…
Lainnya",5 bintang
Edison Fernandus,"Barista ramah, tempat nyaman, dan pelayanan cepat
Tarif per orang
Rp 25–…
Lainnya",5 bintang
Muhamad iqbal,"tempat nyaman, matcha latte nya enak👍 …
Makanan: 5…
Lainnya",5 bintang
liaa,"enak buat nongkrong, minumannya mantap
Makanan: 4…
Lainnya",5 bintang
Delvia Ananda,"pelayanannya ramah, tempatnya nyaman, bestt🌟😍 …",5 bintang
Elisabet Christanti,"buat barista ganteng namanya padlyy love youuuuu
Makanan: 5…
Lainnya",5 bintang
muhammad fadly,"baristanya ramah ramahh, friendly abiss",5 bintang
Rifki Maulana,"pokoknya bintang 5 tapi ku bukan ancaman
Makanan: 5…
Lainnya",5 bintang
Jilan Radinka Aurelia,"pelayanannya bagus, cepat, rekomendasi 👍 …
Makanan: 5…
Lainnya",5 bintang
R Gaming,"baristanya cucok niccee
Makanan: 5…
Lainnya",5 bintang
rehagel reisa,"Kopi kenangan 24jma di Thamrin
Makanan: 5…
Lainnya",5 bintang
Dendi Zaenal,"Tempat lumayan nyaman untuk WFC
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
aminatuzzahro,🤩🤩🤩 …,5 bintang
shaynna devitha,"Tempat nya nyaman dan baguss
Makanan: 4…
Lainnya",5 bintang
Kamila Harsya,"pelayanan nya ramahh
Makanan: 5
Layanan:…
Lainnya",5 bintang
Rio Pane,"Baristanya ramah ramah dan asik
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Ranti Ramadani,"Keren pelayanannya
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Abe Che,"Mantep
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Stella Dorsey,Suasananya pas buat nugas tapi juga pas buat nongkrong santai. Dua mode yang jarang bisa hadir dalam satu tempat. Lainnya,5 bintang
Nuna Nuna,Tempatnya nyaman dan cozy cocok buat ngopi cantik 🤗kaka nya juga ramah dan cepat pelayanannya.. emang sih tempat depan nya rada ketutup sama tenda makanan tapi ada plang nya besar ko keliatan.. heheh … Lainnya,5 bintang
Baghas Yudhistira,"Pelayanan disini sangat bagus plus karyawan nya asik” disini
Tarif per orang…
Lainnya",5 bintang
Prillia Elizhabeth,"one of my favorite kopi kenangan store. barista super duper ramah. kopinya enak, storenya juga bersih. AC nya dingin. barista favorit aku adalah FADLY dan Hauzan. baristanya udah kayak teman dan bikin gak mau pindah ke tempat lain🥰🥰🥰 … Lainnya",5 bintang
azfar muhammad,"Tempat cozy buat nongkrong, wfc friendly, buka 24 Jam. Baristanya helpful dan ramah apalagi ka Fadly dan Hauzan pliss naikin gaji mereka dan angkat jadi manager. Mereka dedikasi dan baik bangett loppp✨🫶🏻 … Lainnya",5 bintang
Adimas Fitriandi,"Tempat nongki asyik
Makanan: 5
Layanan:…
Lainnya",5 bintang
Cristina Luciana,Pelayanan sangat ramah dan bersih tempat nya,5 bintang
Akhdan Aulia,"Tempatnya comfy banget buat WFC, music choicenya pas, pelayanannya ramah
Jenis pesanan…
Lainnya",5 bintang
Larasputri Ayu,"Pelayanan baik barista ramah
Makanan: 5…
Lainnya",5 bintang
Yovi Harahap,Baik,5 bintang
Bulan H,"Aku pesen 5 minuman, diantaranya ada 2 Thai Tea (1 normal + 1 less sugar), nyatanya dua-duanya sama sekali ga dikasih gula. … Lainnya",4 bintang
little wind,"(+) Salah satu outlet kopken yang buka 24 jam, tidak terlalu besar dan tidak banyak kursi, acnya sejuk ke dingin, toiletnya bersih dan cukup rajin dibersihkan, banyak tempat makan di sekitar outlet ini … Lainnya",5 bintang
Patricia G.,"Servicenya good, ramah2, dan ofcourse rasanyaa selalu enak kopken tuhh🙌🏼😮‍💨❤️ …
Jenis pesanan…
Lainnya",5 bintang
Dessy Wijayanti,"Baristanya sangat helpfull
Makanan: 5…
Lainnya",5 bintang
Monika Sitorus,"Cepet banget layanan nyaaa
Makanan: 5…
Lainnya",5 bintang
Byanca Callista,"sangat baik dan cepat
Makanan: 5
Layanan:…
Lainnya",5 bintang
Marisa K,"Tempatnya enak adem, kopi enakkk
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Nurul Hidayahhh,"nyaman, staffnya ramah dan bersih",5 bintang
Dear Andine,"Mba mas nya hari ini rama sekali. ☺️
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
