Nama Pengulas,Ulasan,Rating
Amalia Tri Wahyuni,Oatside matcha latte favorit banget. Outletnya pindah ke lantai paling bawah dan lebih nyaman buat nongkrong.,5 bintang
Sasya Puspita,"hari sabtu anak sy menumpahkan minuman, barista nya yg putih tinggi sngt cepat inisiatif keren dan baik lngng mengnti minuman yg baru untuk anak sy, pdhl itu ksalaahn anak sy, terimaaksih kopken sudah mnyediakan pelayanan terbaik👍🏻 … Lainnya",5 bintang
Chimogmog,"Tempat nyaman, wifi kenceng. Cocok buat karyawan buat singgah sembari ngerjain beberapa kerjaan
Jenis…
Lainnya",4 bintang
Des,"rasa gak pernah berubah masih enak asal less sugar yass
Jenis pesanan
Ma…
Lainnya",5 bintang
Rabindra Surya,"Dengan harga terjangkau udah bisa duduk nyaman sambil belajar/kerja.
Suasana: 5",5 bintang
alan choirulloh,"Tempat nya nyaman untuk nongkrong, dan rasanya tetep enak kopi nya
Jenis pesanan…
Lainnya",5 bintang
Raka Febsya,"kopinya enak,
baristanya bercanda
ngantri engga, lama iya
Makanan: 5…
Lainnya",1 bintang
MARVƏLOUS VAZA,"udah tinggal bayar, terus dibilang close order padahal dari aplikasi.. hmmmmmmm
Makanan: 1…
Lainnya",1 bintang
kasyfi,"tempatnya nyaman varian minuman dan makanan banyak dan merchandise nya lucu lucu
Jenis pesanan…
Lainnya",5 bintang
Husen Saputra,"Kalo yang mau ngopi nyantai ke sini aja bossss!!
Jenis pesanan
Pesan ant…
Lainnya",5 bintang
indria wulandari,kopi kenangan + blok m best combination🤏 …,5 bintang
pj,Kalo bisa saya kasih penilaian nol. Sangat lambat terutama server atas nama ata/eva sangat lelet seperti putri keraton. Nungguin pesanan sampe setengah jam lebih Lainnya,1 bintang
Jo,"pelayanannya enggak banget semenjak pindah kebawah, gak ditanya ada member dilayani nya cepet2 padahal emang barista nya aja lemot Lainnya",1 bintang
Novi Aulia Putri,"staff nya ramah, tapi bagian kasirnya ya gitu deh hehehe (lagi badmood ya?)
Makanan: 5…
Lainnya",4 bintang
Lothar MM,"Terlalu watery, itu susunya dicampur air apa gimana?? Mana ga enak bgt rasanya, masih enakan golda kopi malah Lainnya",1 bintang
SuPorTer 28,Di lantai paling bawah blok m plaza,5 bintang
frisma wahdaniati,padahal masih rame  tp udh closed order jam 21.34…,1 bintang
Yoga Pangestu,"lama ngantrinya entah 1 orang bisa 15 menit sendiri ga ngerti kenapa
Makanan: 5…
Lainnya",1 bintang
Yosafat Dhimas,"lokasi di LG plaza blok m, cukup ramai dan kesulitan untuk mendaptkan kursi ketika dine in
Jenis pesa…
Lainnya",4 bintang
Jihan Chaliza,STAFFFNYAA OKEE BANGEEETTS,5 bintang
Si Nat,"gaenak ngomongnya
Makanan: 4
Layanan:…
Lainnya",2 bintang
Barit Wibowo,"Barista nya ramah2 ..
Thx buat kak Tasya dan team...
Makanan: 5…
Lainnya",5 bintang
Anaz Nazerul,"Menu dan pelayanannya seru dan asikk
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Yasaaro Halawa,"Rasa minuman pas, area yang luas, pelayanan ramah dan cepat, mudah bicara dan tenang. … Lainnya",5 bintang
Indah S,"Pesan delivery status drivernya gak gerak dan lama
Layanan: 2…
Lainnya",2 bintang
Ratu Bilqis,"pelayanannya cepat dan ramah
Makanan: 5…
Lainnya",5 bintang
our memories,"saya barusan mesen fresh lemon add espresso dan cream aren latte, tetapi tidak ada rasa asam dari syrup lemonnya tidak seperti di store lainnya dan cream aren susu terasa seperti sedikit mau basi tolong di cek lagi yaa sebelum ngasih ke costumer takutnya costumer keracunan atau terkontaminasi",1 bintang
joane ivannka,"LELET ABIS DIKIRA ORG GA DIKEJAR WAKTU KALI YA? MALAH ASIK NGOBROL KOCAK WKWKWKW DIBENERIN DONG
Makanan:…
Lainnya",1 bintang
Risti Siahaan,"Pelayanan bener-bener membantu bgt,apalagi kmrin sempat kendala pas mau order tapi dibantu sama mbaknya. Makasih ya mba udah dibantu
Kopi kenangan yg disini tempatnya nyaman dan pelayanan ramah.rasa kopinya jg lebih berasa ga dominan susunya Lainnya",5 bintang
nayraazmiii,"barista nya asik bgt trus ramah, minuman nya enakk rasanya konsisten❤️❤️
Jenis pesanan…
Lainnya",5 bintang
Hisenk,"kopken tercomfort,areanya luas dan pelayanan baristanya ramah ramah ❤️
Jenis pesanan…
Lainnya",5 bintang
Shofia Albar,"Tempatnya nyaman ada non n smoking area, teamnya juga ramah dan gercep,good job guys!-
Makanan:…
Lainnya",5 bintang
Nur Salsabila,"Staff nya ramah semuaaaa sukaa
Makanan: 5…
Lainnya",5 bintang
roseline aulya,"KAKANYA BAIK BAIK SEMUA SERUUU
semangat yaa buat semua kaka yang kerja di kopken, happy holiday semoga dapet bonus semua yaa saking ramenyaaa hihi😸😸 … Lainnya",5 bintang
Alfaiza Nurfitriana (Alfaiza),"Untuk pelayanan cepat dan kakak-kakak baristanya ramah, untuk rasa coffee dan non coffee enak dan pas, harga pastinya terjangkau, selalu ramai tapi selalu jadi comfy place😊 … Lainnya",5 bintang
Firda,"Pelayanan dari barista dan cashir kak Nadira, Malvin dan Shadira sangat ramah dan baik, sajian enak tempat bersih cozy, karyawan sangat informati dengan menu2 yg ada sehingga pelanggan tidak bingung Lainnya",5 bintang
maydina larasati,"Hari ini ke kopi kenangan blok m ketemu barista yg humble dan ramah’ kopi nya enak, the best semangatt yaa Lainnya",5 bintang
arif d five,"Pelayanan ramah, minuman enak, tempat nyaman
Jenis pesanan
Makan di temp…
Lainnya",5 bintang
Muhamad Ryan,"Pelayanan mantapp sekali
Makanan: 5…
Lainnya",5 bintang
atikah tika,"Mantappp
Makanan: 5
Layanan:…
Lainnya",5 bintang
Effi Andriyani,"Pokoknya  nyaman di sini 💕💕 …
Makanan: 5…
Lainnya",5 bintang
Widya Ainun,"pelayanan ramah dan cepat, baristanya sangat humbleee. goodd🤙🏻🤙🏻🤙🏻 …
Makanan: 5…
Lainnya",5 bintang
Tasya Maharani,Terimakasih banyak kakak kakak kopi kenangan.. yang perempuan dan laki”.. kakak cantikk yg ada tanda dimulut kecil.. sudah menyelamatkan hp saya terimakasih yaa kakk atas kebaikan kakak.. saya bersyukur masih disimpan baik dengan kakak.. … Lainnya,5 bintang
Ramadhan Alhdyt,"barista nya kalcerr abieezzzzz
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
achmad faisal,"Kopinya mantap
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Aemanul Khabasiyah,"kopinya enakk, tempatnya nyamann buat duduk santai atau sambil kerja, pelayananya ramahh🫰🏻🥰 …
Makanan:…
Lainnya",5 bintang
Yudistira Caesar R.S,"kalo ke negara blok m pasti mampir ke kopken
Makanan: 5…
Lainnya",5 bintang
Davinna Azzahra,"kakak barista nya asik asik
Jenis makanan
Lainnya…
Lainnya",5 bintang
spreme,"tempatnya nyaman baristanya ramah dan banyak pilihan makanan dan minuman yang unik
Makanan: 5…
Lainnya",5 bintang
Saffanah Azizah,"enakkkkk, pelayanannya ramaaah, mantap mantappp
Makanan: 5…
Lainnya",5 bintang
Rijal,"kopinya enak,tempatnya nyaman,barista nya ramah bintang 5
Makanan: 5…
Lainnya",5 bintang
Cicilia Yacqueline,"🥤 Minuman: pesan kopi kenangan mantan dan Fresh Lemonade. Seperti biasa kopi kenangan rasanya selalu enak dimana saja, disini juga enak kopinya.
🏡 Atmosfer: Tempatnya luas dengan fasilitas wifi n colokan yg lumayan banyak … Lainnya",5 bintang
SenyuMyName “.”,"Tempatnya sih enak,cuma gak bisa sambil merokok...
Makanan: 3…
Lainnya",4 bintang
Galuh Audia Pamesta,"Donat tiramisu nya enak banget! Topping tiramisunya dan rasa kopinya pas, tidak terlalu manis.
Jenis …
Lainnya",5 bintang
Ade Eka Saputra,"Menu baru nya enak dan terasa lembut dimulut dan pelayanan ramah.
Jenis pesanan…
Lainnya",5 bintang
Carolline Sadikin,"Yummyy! Donatnya lembut!!
Makanan: 5…
Lainnya",5 bintang
vionanda ginting,"Apple pie sangat enak, rasa nya pas 🫶🫶 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Reina Sari,"Makanannya enak², minumannya juga enak n mas n mbanya semua ramah.. suka banget di sini
Jenis pesanan…
Lainnya",5 bintang
rosaria larasati,"Lokasinya gampang dicari, Tempatnya asiik buat nongkrong bareng teman"" Pelayananya cepat dan ramah
Je…
Lainnya",5 bintang
Yogi Hermawan,"Baristanya baik ramah dan pelayanannya baik dan cepat banget Kaka Adel nya juga ramah
Makanan:…
Lainnya",5 bintang
Jihan Elki,"Comfy, banyak kursinya, dan pelayanan cepat
Makanan: 5…
Lainnya",5 bintang
Salman Ais,"Nyaman, pelayanannya ramah & baik
Makanan: 5…
Lainnya",5 bintang
Panca Farista,"Service cepat, kopinya juara, pelayanannya ramah
Makanan: 5…
Lainnya",5 bintang
Azka Ocha,"Pelayanannya ok, untuk rasa kopi nya mantap
Jenis pesanan
Makan di tempa…
Lainnya",5 bintang
Fara Adinda,"nyaman dan tempatnya luas
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Santhy Ratna,"Staff nya ramah pelayanan oke
Makanan: 5…
Lainnya",5 bintang
Muthia Afsari,"Tempatnya nyaman untuk duduk sambil ngopiyy
Makanan: 5…
Lainnya",5 bintang
mega satria,"Nice place …americano nya pass… cemilan nya jg oke  esp mocca toast nya
Jenis pesanan…
Lainnya",5 bintang
Betavianne Indah Putri,"Tempatnya enak bersih, nyaman, dan dikasih free toast
Jenis pesanan
Maka…
Lainnya",5 bintang
Eris Eka Pramudita Tangdilallo,"Tempat nya enak, minuman nya enakk apalagi Dutch Choco nya saya suka. untuk Roti nya juga enak.
Jenis…
Lainnya",5 bintang
Yemima Rebeca,"Butterscotch Sea Salt Crumblenya aku sukaak...
Menu baru yang donat tiramisunya juga enakk uuuuuuuuu Lainnya",5 bintang
diva almndaa,"menu barunya okeee bangetttt
Makanan: 5",5 bintang
Anindya Paramesti,"enakk bangetttt👍👍👍👍👍👍 …
Makanan: 5…
Lainnya",5 bintang
auliaa rahmadianii,"all time favorite place, setiap kali selesai ngampus ataupun sebelum..
but please konsisten ya untuk rasa kopinyaaa",4 bintang
Yance Mada,"Kopi kenangan paling terbaik menu dan pelayanan
Makanan: 5…
Lainnya",5 bintang
zelva,"menu baru mereka yg choco mocha toast enak👍👍😍 isian creamnya manisnya pas jadi ga eneg🙂‍↕️ …
Makanan:…
Lainnya",5 bintang
Audrie Tesa Karenina S,"tempatnya nyaman bangeet, pelayanannya jg okee, pw bgt si disini jujyurr
Jenis pesanan…
Lainnya",5 bintang
Taqy Hanif,"Menunya menarik wajib dicoba.
Tempatnya unik dibanding outlet yang lain
Makanan: 5…
Lainnya",5 bintang
Kartika Veronika,"Sering kesini kalok lagi maen ke blok m plaza.. setelah pindah ke LG, kopkennya jadi gede euy.. kursinya banyak. Gak perlu rebutan lagi wkwk.. karyawannya ramah2 dan murah senyum. Semoga kopken makin jaya jaya jaya Lainnya",5 bintang
zei group,"Tempatnya seru pelayanan oke
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Sihol Sinaga,"Menunyaa terenakuennn mantapp pokok'e!!
Makanan: 5…
Lainnya",5 bintang
Stepen Maridolu,"Enakk buat menu barunyaa, good servis buat staff nya
Makanan: 5…
Lainnya",5 bintang
Anabel Blueber,"Terbaikk makanan menu toast terbaru enakkk
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Sumoy Fang,Makanan minuman enak dan bersih barista ramah,5 bintang
Lita Sani,"Gokil waktu tunggunya lama bgt pdhl staff di lokasi banyak. Pas order aku ga pake antri, artinya uda ga ada yg dilayanin sebelum aku. Dan pas order jg ga ada diinfo kalo akan nunggu lama. Tapi nyata 1kopi dan 1roti tawar aja 20menit. Emg the best cuma koken cipete, mau serame apapun, staffnya super gesit dan cepet bgt pelayanannya Lainnya",1 bintang
Citra Mutia,"Hari ini istri saya beli voucher TikTok tapi stlah sudah di klaim di kasir baru di info stock’nya habis? Kenapa ya stock habis gini gak info di awal?
Di arahin ke lantai 6 sama kasir, pas coba voucher TikTok belum bisa di pakai. … Lainnya",1 bintang
Siska Pariasih,"Kalau pengen nongkrong nyaman bareng teman-teman, tempat ini wajib dikunjungi! Tidak hanya aksesnya mudah ke mana-mana, makanan dan minumannya juga enak! Baristanya sangat sopan dan luar biasa. Saya ingin berkunjung ke sini lagi suatu saat nanti bersama teman dan keluarga. Lainnya",5 bintang
Bob Gunawan,"Kopi Kenangan telah pindah ke Lantai Bawah di Blok M Plaza. Tempat ini juga telah berkembang menjadi kedai kopi yang lebih besar dan lebih layak, ideal untuk bekerja. Terakhir, mereka sekarang memiliki tempat yang bagus di Blok M Plaza, tidak seperti dulu ketika mereka hanya memiliki gang kecil. Lainnya",5 bintang
Luna,"Saya suka desain langit-langitnya, sangat menarik jika dilihat dari lantai atas. Area makannya cukup luas, tetapi selalu ramai. Tersedia port pengisian daya dan cukup nyaman untuk berlama-lama di sana. Lainnya",5 bintang
Adrian P. Rayana,"Kopi Kenangan di Blok M Plaza telah mengalami pembaruan yang cukup baik. Berawal dari kedai kecil di Lantai Dasar, kini mereka pindah ke lantai LG. Suasananya sangat nyaman, dilengkapi mesin kasir otomatis, dan kursi yang tersedia cukup banyak untuk pelanggan. Keren sekali pembaruannya! Lainnya",5 bintang
Master Roshi,"Ada lima staf di belakang konter, namun tak satu pun yang membersihkan meja. Pelayanan sangat lambat, dan beberapa orang menduduki tempat duduk tanpa melakukan pembelian apa pun sementara staf tidak melakukan apa pun untuk mengatasinya. … Lainnya",3 bintang
Tara Maulida,Telah memperluas tempatnya dan sekarang menjadi tempat yang bagus untuk minum kopi dan mengerjakan laptop di Blok M Plaza. 💻☕ … Lainnya,4 bintang
dira anjani,"tolong lebih ramah lagi pada pelanggannya, dan lebih responsif lagi, kasir yang satu itu namanya wulan Lainnya",3 bintang
Dicky Firmansyah A.,"Tempat yang sangat indah di sini
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Jay Ann,"Tempat yang bagus untuk beristirahat...
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Wahyudi Triguna,"Bagus
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Windri nanda,"Pelayanan sangat buruk!!
Layanan: 1…
Lainnya",1 bintang
risti aryanti,,5 bintang
Andaman Saisrithong,,5 bintang
Vega Harsono,,5 bintang
Roza Sani Aidah,,5 bintang
Amelia Silvera,,5 bintang
Abdul Hamid Sagaff,,5 bintang
Iffat Umniyati,,5 bintang
Maya Mhrn,,5 bintang
Corry F,,5 bintang
Lina sulistiana,,5 bintang
Lloyd Zyane Aura Sheftine,,5 bintang
Dwiki Novariano,,5 bintang
Dwi Ranthi,,5 bintang
Ratih Asensio,,5 bintang
Putri Tanzila,,5 bintang
abyan daffa,,5 bintang
Rachel Sianipar,,5 bintang
fitri larasati,,5 bintang
anggraini cucu siti ainin,,5 bintang
rinrun20,"mencuci andy
Makanan: 5
Layanan:…
Lainnya",5 bintang
shaka13,,5 bintang
Abimanyu Andika A,,5 bintang
Dimas Ikhlas,,5 bintang
Hendrian Saputra,,5 bintang
