Nama Pengulas,Ulasan,Rating
Luthfi Attha,"tempatnya enak, luas, creamy aren lattenya enak banget, pokoknya top deh
Makanan: 5…
Lainnya",5 bintang
sltnsirzishky,"tiap hari di mari jozzjezz lah
Makanan: 5…
Lainnya",5 bintang
jian ramadhan,"itu tolong tukang parkirnya dong duh, saya dtg parkiran cukup penuh dan butuh beberapa lama buat cari sampe harus geser2 mtr lain sendiri, si tukang parkir cm ngeliatin dari jauh duduk ngerokok dan ketawa2 sm tmn nya ga bantuin samsek, pas … Lainnya",3 bintang
Naufal Satria,Bintang 1 dulu deh. Tukang parkir atau preman itu? Ga bantuin keluarin motor tapi ngehadang di depan. Pas mau keuar ke jalan raya pun ga dibantu arahin. Sekelas brand gede takut nih sama preman? Lainnya,1 bintang
Muhammad Dava Adian Mesa,"parkiran nya luas, tempat indoor outdoor juga nyaman untuk nongkrong, AC nya dingin betul. Overall bagus tempatnya Lainnya",5 bintang
Dimas Rifqi Putra Jaelany,"abil dan nasril asik diajak ngobrol, overall pelayanan good!
Makanan: 5…
Lainnya",5 bintang
Salsa Arsa,"Ramah barista and luas juga asik di buat nongkrong
Makanan: 5…
Lainnya",5 bintang
Rizky Maulana Ibrohim,"Makanan nya enak dan promonya mantap
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Liam,"semoga wifi nya bisa lebih kenceng yaa, sisanya bintang 5
Makanan: 5…
Lainnya",5 bintang
Selly Anggraeni,Pelayanan nya gercep the best lah pokonya,5 bintang
allegraputri anshoryye,"gajelas frappe nya ga kayak kopen tempat lain.
Makanan: 1",1 bintang
Hy Hans,"btw thanks ya udah gw liat lu dah review
Makanan: 5…
Lainnya",5 bintang
Fadia Nurrizki utari,"Tempat nya nyaman dan santai
Makanan: 5…
Lainnya",5 bintang
Naufal Fauzan,"sepertinya kurang pegawai, pelayanan jadi agak lambat
Jenis pesanan
Bawa…
Lainnya",4 bintang
Nabila Lailinajma,"service oke, makanan dan minuman oke, ambience oke
Jenis pesanan
Makan d…
Lainnya",5 bintang
Gilang Perdana Putra,"Colokan listriknya kurang banyak ☹️
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Citha Ahmad Pauzi,"Nyaman banget tempatnya
Makanan: 5…
Lainnya",5 bintang
daviq muklison,"Nyaman
Makanan: 4
Layanan: 4…
Lainnya",4 bintang
rani astuti,"Makanan, minuman semuanya enak
Makanan: 5…
Lainnya",5 bintang
Dewi Ariyani,"Suka banget sama kopi buatan baristanya
Makanan: 4…
Lainnya",4 bintang
Sydney Hamid,"Ga seenak dulu, skrng b bgt klo dibanding brand lain",5 bintang
risky dinata,"saya suka produknya dan pelayanan nya ramah ramah
Jenis pesanan
Makan di…
Lainnya",5 bintang
Hanesya Silviana,"Tempatnya nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
nayla ramandha,"tempatnya nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
Muhammad Khadafi,"tempatnya bagus, suasananya nyaman utk tugas, untuk nongkrong
Makanan: 5…
Lainnya",5 bintang
caramel lia,"enakk bangett nyamann, trus dinginn, lagunya asik” dan staffnya ramah bangett, parkiran luas, toilet, semuanya bersih Lainnya",5 bintang
Nazwa Kamilah,"baguss
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Dewi Chotijah,"Mantap bgtt kopken pos pengumben pelayanan nya bagus gercep smuaa
Makanan: 5…
Lainnya",5 bintang
S. Five,"tempat nya nyaman stafnya baik
Makanan: 5…
Lainnya",5 bintang
salma kamilia,"Tempatnya nyaman & rasa kopinya berasa
Makanan: 5…
Lainnya",5 bintang
wid hutagalung,"mantapp dah
Makanan: 5
Layanan:…
Lainnya",5 bintang
queena rahma,"tempatnya cozy, 24 jam, free wifi, colokan, ac nya dingin
Makanan: 5…
Lainnya",5 bintang
jenni,"tempat nongs ternyamaann!!! perfect dan dingin bgttt, murce juga, recommended bangett ❤️🫰🏻 …
Jenis pe…
Lainnya",5 bintang
rono,"mantap pelayanannya cepat
Makanan: 5…
Lainnya",5 bintang
Natha Niel,"Aku suka banget sama pelayanan nya apalagi dilayanin yang namanya mas Fauzi
Jenis pesanan…
Lainnya",5 bintang
Sefielda Putri,"tempatnya nyaman bersih, pelayanannya juga oke bangetttttt
Jenis pesanan…
Lainnya",5 bintang
Mukti Fadhil,"tempatnya nyaman, bersih, pelayanan cepat, parkiran luas
Makanan: 5…
Lainnya",5 bintang
Belina Trisna Ayu Dianingrum,"tempatnya nyaman banget, kaka pegawainya asik betull, tapi ac nya dingin banget😭👍👍👍 pokoknya bestt bangettt kopken cabang di pengumben !! … Lainnya",5 bintang
Diva Saraswati Hassan,"tempatnya cozy, masnya seru n ramahhh!!😎🤟🏻🤟🏻 …
Makanan: 5…
Lainnya",5 bintang
Andy Syafar,"Saya suka ngopi di kopken pos pengumben
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
