Nama Pengulas,Ulasan,Rating
Miftah Hulkhoiro,Di liatin mulu sama karyawan bikin ngga nyaman,2 bintang
Caecilia Rumondang,"tempatnya ok, tapi kopi untuk cabang ini kureng bgt :(
Jenis pesanan
Baw…
Lainnya",1 bintang
Rudi Rizqi8,"Pelayanan nya sangat baik dan cepat
Makanan: 5…
Lainnya",5 bintang
aginta depuna,"pelayannya ramah ramah dan lingkungannya bersih
Jenis pesanan
Makan di t…
Lainnya",5 bintang
Juwita Wulandari,cobain guyzzzz bgs bgt' parkirannya juga luassa,5 bintang
Camelia Fatimatuz zahra,"pelayanan nya bagus, ramah😻 …
Makanan: 5…
Lainnya",5 bintang
Miranda,"Tempatnya bersih, ambience enak, Playlistnya bagus bagus✨✨✨
Jenis pesanan…
Lainnya",5 bintang
Ruly Afriansyah,"best semua !
Makanan: 5
Layanan:…
Lainnya",5 bintang
T Rest,"Mentang mentang pesen online ya,, lebih prioritas yang offline.
Layanan: 1",1 bintang
Resty Tresna Pramesti,"Nyaman, Bersih, Ramah, Best pokonya❤
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
sirsir-sirin,"aku senang
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Arya Pranata,"Tempat nya bagus, bersih dan rame
Jenis makanan
Sarapan…
Lainnya",5 bintang
Mohammad Imam Basrurrohman,"Atmosfernya bikin nyaman buat wfc. sayangnya wifinya sangat buruk, sering di bawah 5 mbps. rasa kopinya enak seperti kopi kenangan lainnya. Ada Musholla cukup maksimal 3 orang, toilet bersih. … Lainnya",5 bintang
Guru Ahli,"Nyaman
Tarif per orang
Rp 25–50 rb…
Lainnya",5 bintang
Selviana Astari,"untuk saya yang wfc dan nyari wifi yang internetnya kenceng ini adalah salah satu pilihan buruk saya, WIFINYA LEMOT SEKALI 😡 … Lainnya",2 bintang
Aloysia Danni,"overall, kopi memang enak dan secara harga oke. tapi pengalaman saya 2x kesini wifi selalu buruk koneksinya dan herannya tidak diperbaiki sampai kunjungan yang keduapun saya pikir sudah membaik, ternyata semakin buruk wifinya. Lainnya",1 bintang
Teuku Yasser,"Tempat nya nyaman dan luas sekali
Jenis makanan
Sarapan…
Lainnya",5 bintang
Raymon Sonata,Dari segi tempat ok aku sebagai cinta kopken jujur kadang kesel banget dateng buat WFH tapi wifi nya lelet sekali tolong dong owner atau pun siapa pun itu please jangan bikin customer lain gagal stay karna wifi Lainnya,5 bintang
Avivah Anggreani,"Better cabang bek murad
Makanan: 1…
Lainnya",1 bintang
Baby Cya,"Kopi nya enak enak abis tu enak ny pinggir kost, tmpt ny nyaman jga
Makanan: 5…
Lainnya",5 bintang
Jefri Gusneidi,"Tempatnya bagus sih, tapi ac nya terlalu dingin
Gw pikir , cuma gw yg kedinginan, tpi hampir merata pengunjung datang pakai jacket",5 bintang
Syifa Syifs,"cocok untuk hangout, work from anywhere, banyak kursi
Jenis makanan
Lain…
Lainnya",5 bintang
Fahrul Rozi,"Perihal rasa, kopi kenangan gak diragukan lagi menurut gue.

Tempatnya oke, akses transum mudah dijangkau. Buka 24 Jam, kamar mandi dan … Lainnya",4 bintang
Muhammad Tahir,"Tempatnya rame selalu
Jenis makanan
Makan siang…
Lainnya",5 bintang
Haris Sofyan,"Asli enak bet ini tmpat, foodnya kumplit dan staff2nya semua ramah... Good pertahankan
Makanan:…
Lainnya",5 bintang
Mutiara Andamdewi,"Tempatt nya enak cozy bgtt, walaupun lagi rame minumannya cepett jadinya, barista gesitt. Enak bgt nongkrong disini ✨ Lainnya",5 bintang
Fajar likawan,"Tempatnya enak bersih, dan rame bgt
Cuman space antar meja terlalu dekat kalo lagi ful house kursi pada mundur mau jalan sulit, dan gak tau ntah kursi/meja nya yg agak pendek gak nyaman bgt terlalu nunduk beda sama kopken"" yg laen Lainnya",4 bintang
Arka,"Tempat OK. Tau sih harganya affordable tapi servicenya juga jangan murahan atau amburadul lah,  customer lagi ada masalah orderan dan belom selesai di solve malah ditinggalin dan ngerjain yang lain tanpa penjelasan apa apa. Lainnya",1 bintang
dicichan,"Hectic bgt malming disini, full dan penuh sgt berisik🤣 Tapi tempatnya jujur nyaman banget lohhh, kopken emg gapernah gagal … Lainnya",5 bintang
3TA04_Adha Febrian,"bagus buat wfc, non smoking area luas, smoking areanya juga luas ada di belakang dan didepan",5 bintang
Soemitro Soemit81,"Ok bngt
Makanan: 4
Layanan: …
Lainnya",4 bintang
Trinita Sigalingging,"Pertama kali kesini, kesannya lgsg buruk.
Cust : apa yg ready mba?
Waiter : ya semua ada kak, kec.butterscotch … Lainnya",2 bintang
SAMSUL ODE,"Tolong mbak nya yang bertugas hari ini 31 maret 2026 pukul 19.30 jangan judes dan tidak ramah ke pelanggan, kalau capek istirahat. Lainnya",1 bintang
Ellisya Aprilliani,"Beli kopi kenangan dengan harga bagus lewat app Qpon🙌🙌 …
Jenis makanan
S…
Lainnya",5 bintang
sarmin cool,"Orang nya ramah ramah
Jenis makanan
Makan malam…
Lainnya",5 bintang
Annisa,"Gimana ya, tempat segede ini, buka 24 jam, dan weekend tapi staff HANYA 1 ORANG. Bayangin 1 orang itu handle kasir, bikinin minuman, angetin makanan, bersihin meja. Minuman dan makanan yang saya order beberapa salah dan lama keluarnya, … Lainnya",2 bintang
Rika priyanti Manik,"Hari ini saya ke kopi kenangan ini, tempat/layoutnya bagus banget. Tapi sayangnya, kasirnya tidak mau membantu saya. Saya tau di dekat meja kasir ada colokan, hp saya lobet, saya butuh wifi karna mau meeting. Tapi mas nya ga mau bantu saya nyolok dekat meja kasir. Pertama kali kesini, first impression saya dgn layanan nya uda jelek Lainnya",1 bintang
Firman Dwi Saputra,"Tempatnya asikkk
Makanan: 5
Layanan:…
Lainnya",5 bintang
vtree alya's,"Tempat nyaman dan luas, terdapat mushola  toilet, area merokok dan di sini juga free wifi.
Makanan:…
Lainnya",5 bintang
Yasaaro Halawa,"Wow, keren abisssss….

Tempatnya luas, bingung mau duduk dimana, banyak pilihan tempat duduknya. … Lainnya",5 bintang
Daffa Gautama,"MAU SAYA KASIH BINTANG 5 KRN TEMPATNYA SUPER NYAMAN, TAPI TOLONG MUTER LAGUNYA JGN KERAS2 INI COFFEE SHOP BUKAN DISKOTIK, APALAGI LAGUNYA JUSTIN BIEBER, GANGGU BGT! (maaf ya beliebers)",4 bintang
Muhammad Farhan,"tempat nyaman, cocok buat wfh
Makanan: 5…
Lainnya",5 bintang
Muhammad Fachri,"rekomendasi banget tempat nya bersih,nyaman pelayanan juga baik cocok banget buat nugas atau sekedar ngopi Lainnya",5 bintang
